Type,Operation,String_expresion,CIR_regularizado,Explicit,String
DATE,DATE,in August 2079,2079 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 2079 2079 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,September 4,<pad>09<pad>04<pad><pad><pad><pad><pad>,explicit,<date September 4 <pad>09<pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-fifth week of 1917,1917<pad>45<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fifth week of 1917 1917<pad>45<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the eighth,<pad><pad><pad>08<pad><pad><pad><pad><pad>,explicit,<date On the eighth <pad><pad><pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,in September 2057,2057 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2057 2057 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 1995,1995 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1995 1995 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of 2015,2015<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2015 2015<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 2059,2059<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2059 2059<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fourteenth of the 5,<pad>05<pad>14<pad><pad><pad><pad><pad>,explicit,<date the fourteenth of the 5 <pad>05<pad>14<pad><pad><pad><pad><pad>>
DATE,DATE,in January 2000,2000 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 2000 2000 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the first week of 1903,1903<pad>01<pad><pad><pad><pad><pad><pad>,explicit,<date the first week of 1903 1903<pad>01<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twelfth week of 2075,2075<pad>12<pad><pad><pad><pad><pad><pad>,explicit,<date the twelfth week of 2075 2075<pad>12<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 1904,1904 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1904 1904 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-fourth of the 12th of two thousand forty-seven,2047 12<pad>24<pad><pad><pad><pad><pad>,explicit,<date the twenty-fourth of the 12th of two thousand forty-seven 2047 12<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,"August 6, two thousand thirty-five",2035 08<pad>06<pad><pad><pad><pad><pad>,explicit,"<date August 6, two thousand thirty-five 2035 08<pad>06<pad><pad><pad><pad><pad>>"
DATE,DATE,"August 7, 1951",1951 08<pad>07<pad><pad><pad><pad><pad>,explicit,"<date August 7, 1951 1951 08<pad>07<pad><pad><pad><pad><pad>>"
DATE,DATE,On the twentieth,<pad><pad><pad>20<pad><pad><pad><pad><pad>,explicit,<date On the twentieth <pad><pad><pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,in October 2039,2039 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2039 2039 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in April 1942,1942 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 1942 1942 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,25th of 11,<pad>11<pad>25<pad><pad><pad><pad><pad>,explicit,<date 25th of 11 <pad>11<pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,late January,<pad>01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date late January <pad>01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"April 13, 2043",2043 04<pad>13<pad><pad><pad><pad><pad>,explicit,"<date April 13, 2043 2043 04<pad>13<pad><pad><pad><pad><pad>>"
DATE,DATE,beginning of October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginning of October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the tenth week of 2050,2050<pad>10<pad><pad><pad><pad><pad><pad>,explicit,<date the tenth week of 2050 2050<pad>10<pad><pad><pad><pad><pad><pad>>
DATE,DATE,December 25th,<pad>12<pad>25<pad><pad><pad><pad><pad>,explicit,<date December 25th <pad>12<pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,January 15,<pad>01<pad>15<pad><pad><pad><pad><pad>,explicit,<date January 15 <pad>01<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,20 of 5,<pad>05<pad>20<pad><pad><pad><pad><pad>,explicit,<date 20 of 5 <pad>05<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,1971,1971<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1971 1971<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty of the 10,<pad>10<pad>20<pad><pad><pad><pad><pad>,explicit,<date the twenty of the 10 <pad>10<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,2038/1/21,2038 01<pad>21<pad><pad><pad><pad><pad>,explicit,<date 2038/1/21 2038 01<pad>21<pad><pad><pad><pad><pad>>
DATE,DATE,On the 26th,<pad><pad><pad>26<pad><pad><pad><pad><pad>,explicit,<date On the 26th <pad><pad><pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,2032/4/1,2032 04<pad>01<pad><pad><pad><pad><pad>,explicit,<date 2032/4/1 2032 04<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,in September 1968,1968 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1968 1968 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On August 21,<pad>08<pad>21<pad><pad><pad><pad><pad>,explicit,<date On August 21 <pad>08<pad>21<pad><pad><pad><pad><pad>>
DATE,DATE,On the 26th,<pad><pad><pad>26<pad><pad><pad><pad><pad>,explicit,<date On the 26th <pad><pad><pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,the fifteenth week of 1909,1909<pad>15<pad><pad><pad><pad><pad><pad>,explicit,<date the fifteenth week of 1909 1909<pad>15<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-fourth week of 1904,1904<pad>34<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-fourth week of 1904 1904<pad>34<pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eleventh week of 2011,2011<pad>11<pad><pad><pad><pad><pad><pad>,explicit,<date the eleventh week of 2011 2011<pad>11<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fortieth week of 2091,2091<pad>40<pad><pad><pad><pad><pad><pad>,explicit,<date the fortieth week of 2091 2091<pad>40<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the third of may,<pad>05<pad>03<pad><pad><pad><pad><pad>,explicit,<date the third of may <pad>05<pad>03<pad><pad><pad><pad><pad>>
DATE,DATE,the fourth of august,<pad>08<pad>04<pad><pad><pad><pad><pad>,explicit,<date the fourth of august <pad>08<pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-fifth week of 1959,1959<pad>35<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-fifth week of 1959 1959<pad>35<pad><pad><pad><pad><pad><pad>>
DATE,DATE,August 16,<pad>08<pad>16<pad><pad><pad><pad><pad>,explicit,<date August 16 <pad>08<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,1975/7/1,1975 07<pad>01<pad><pad><pad><pad><pad>,explicit,<date 1975/7/1 1975 07<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-second week of 1984,1984<pad>22<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-second week of 1984 1984<pad>22<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1920,1920 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1920 1920 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 17th of the 4th,<pad>04<pad>17<pad><pad><pad><pad><pad>,explicit,<date the 17th of the 4th <pad>04<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,27th of 5,<pad>05<pad>27<pad><pad><pad><pad><pad>,explicit,<date 27th of 5 <pad>05<pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,November 11th,<pad>11<pad>11<pad><pad><pad><pad><pad>,explicit,<date November 11th <pad>11<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,in October 2061,2061 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2061 2061 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,June seventeenth,<pad>06<pad>17<pad><pad><pad><pad><pad>,explicit,<date June seventeenth <pad>06<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-eighth week of 2058,2058<pad>38<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-eighth week of 2058 2058<pad>38<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2030/6/20,2030 06<pad>20<pad><pad><pad><pad><pad>,explicit,<date 2030/6/20 2030 06<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,the fifty-first week of 1980,1980<pad>51<pad><pad><pad><pad><pad><pad>,explicit,<date the fifty-first week of 1980 1980<pad>51<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fifty-second week of 1993,1993<pad>52<pad><pad><pad><pad><pad><pad>,explicit,<date the fifty-second week of 1993 1993<pad>52<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the first week of 2006,2006<pad>01<pad><pad><pad><pad><pad><pad>,explicit,<date the first week of 2006 2006<pad>01<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-seventh week of 2078,2078<pad>47<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-seventh week of 2078 2078<pad>47<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On April 25,<pad>04<pad>25<pad><pad><pad><pad><pad>,explicit,<date On April 25 <pad>04<pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,August 11th,<pad>08<pad>11<pad><pad><pad><pad><pad>,explicit,<date August 11th <pad>08<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,1908,1908<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1908 1908<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August twenty-second,<pad>08<pad>22<pad><pad><pad><pad><pad>,explicit,<date August twenty-second <pad>08<pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-third of the 7th,<pad>07<pad>23<pad><pad><pad><pad><pad>,explicit,<date the twenty-third of the 7th <pad>07<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,in February 1980,1980 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 1980 1980 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-eighth week of 1917,1917<pad>38<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-eighth week of 1917 1917<pad>38<pad><pad><pad><pad><pad><pad>>
DATE,DATE,June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August thirteenth,<pad>08<pad>13<pad><pad><pad><pad><pad>,explicit,<date August thirteenth <pad>08<pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,2063/10/28,2063 10<pad>28<pad><pad><pad><pad><pad>,explicit,<date 2063/10/28 2063 10<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,2005/6/16,2005 06<pad>16<pad><pad><pad><pad><pad>,explicit,<date 2005/6/16 2005 06<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,2099,2099<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2099 2099<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-second week of 2058,2058<pad>32<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-second week of 2058 2058<pad>32<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1906/5/20,1906 05<pad>20<pad><pad><pad><pad><pad>,explicit,<date 1906/5/20 1906 05<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,on May 28,<pad>05<pad>28<pad><pad><pad><pad><pad>,explicit,<date on May 28 <pad>05<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,2014/9/20,2014 09<pad>20<pad><pad><pad><pad><pad>,explicit,<date 2014/9/20 2014 09<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,"October twelfth, two thousand eighty",2080 10<pad>12<pad><pad><pad><pad><pad>,explicit,"<date October twelfth, two thousand eighty 2080 10<pad>12<pad><pad><pad><pad><pad>>"
DATE,DATE,7/7/2092,2092 07<pad>07<pad><pad><pad><pad><pad>,explicit,<date 7/7/2092 2092 07<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,early april,<pad>04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early april <pad>04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in June 1948,1948 06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in June 1948 1948 06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2022,2022<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2022 2022<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-seventh week of 2024,2024<pad>37<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-seventh week of 2024 2024<pad>37<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1954,1954<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1954 1954<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in February 1973,1973 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 1973 1973 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July 26,<pad>07<pad>26<pad><pad><pad><pad><pad>,explicit,<date July 26 <pad>07<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,early September,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early September <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,April 30,<pad>04<pad>30<pad><pad><pad><pad><pad>,explicit,<date April 30 <pad>04<pad>30<pad><pad><pad><pad><pad>>
DATE,DATE,November 15,<pad>11<pad>15<pad><pad><pad><pad><pad>,explicit,<date November 15 <pad>11<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,1998/1/11,1998 01<pad>11<pad><pad><pad><pad><pad>,explicit,<date 1998/1/11 1998 01<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,On the 23rd,<pad><pad><pad>23<pad><pad><pad><pad><pad>,explicit,<date On the 23rd <pad><pad><pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,On the seventh,<pad><pad><pad>07<pad><pad><pad><pad><pad>,explicit,<date On the seventh <pad><pad><pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,in December 2010,2010 12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in December 2010 2010 12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,December,<pad>12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date December <pad>12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-third week of 2040,2040<pad>23<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-third week of 2040 2040<pad>23<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1984,1984<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1984 1984<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"March 24, 1966",1966 03<pad>24<pad><pad><pad><pad><pad>,explicit,"<date March 24, 1966 1966 03<pad>24<pad><pad><pad><pad><pad>>"
DATE,DATE,end of 2016,2016<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2016 2016<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eighteenth week of 1989,1989<pad>18<pad><pad><pad><pad><pad><pad>,explicit,<date the eighteenth week of 1989 1989<pad>18<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 2061,2061 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 2061 2061 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 1950,1950 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1950 1950 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 10th,<pad><pad><pad>10<pad><pad><pad><pad><pad>,explicit,<date On the 10th <pad><pad><pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,end of august,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of august <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1991/6/28,1991 06<pad>28<pad><pad><pad><pad><pad>,explicit,<date 1991/6/28 1991 06<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"December 1, 2045",2045 12<pad>01<pad><pad><pad><pad><pad>,explicit,"<date December 1, 2045 2045 12<pad>01<pad><pad><pad><pad><pad>>"
DATE,DATE,end of 2087,2087<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2087 2087<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,beginnings of November,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginnings of November <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-sixth week of 1986,1986<pad>36<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-sixth week of 1986 1986<pad>36<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 9th,<pad><pad><pad>09<pad><pad><pad><pad><pad>,explicit,<date On the 9th <pad><pad><pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,in September 2054,2054 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2054 2054 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in June 2033,2033 06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in June 2033 2033 06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in December 2035,2035 12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in December 2035 2035 12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 14th of the 8th,<pad>08<pad>14<pad><pad><pad><pad><pad>,explicit,<date the 14th of the 8th <pad>08<pad>14<pad><pad><pad><pad><pad>>
DATE,DATE,July twentieth,<pad>07<pad>20<pad><pad><pad><pad><pad>,explicit,<date July twentieth <pad>07<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,2071/6/23,2071 06<pad>23<pad><pad><pad><pad><pad>,explicit,<date 2071/6/23 2071 06<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,January twenty-fourth,<pad>01<pad>24<pad><pad><pad><pad><pad>,explicit,<date January twenty-fourth <pad>01<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,in July 1980,1980 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 1980 1980 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of november,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of november <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,on November 29,<pad>11<pad>29<pad><pad><pad><pad><pad>,explicit,<date on November 29 <pad>11<pad>29<pad><pad><pad><pad><pad>>
DATE,DATE,2058,2058<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2058 2058<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-seventh week of 2002,2002<pad>27<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-seventh week of 2002 2002<pad>27<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2029/1/14,2029 01<pad>14<pad><pad><pad><pad><pad>,explicit,<date 2029/1/14 2029 01<pad>14<pad><pad><pad><pad><pad>>
DATE,DATE,in March 2035,2035 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 2035 2035 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 23rd,<pad><pad><pad>23<pad><pad><pad><pad><pad>,explicit,<date On the 23rd <pad><pad><pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,1961/5/8,1961 05<pad>08<pad><pad><pad><pad><pad>,explicit,<date 1961/5/8 1961 05<pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-fifth week of 2081,2081<pad>45<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fifth week of 2081 2081<pad>45<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 1980,1980 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 1980 1980 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 1989,1989 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1989 1989 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the end of October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date the end of October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 1945,1945 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1945 1945 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eleven of the 8th,<pad>08<pad>11<pad><pad><pad><pad><pad>,explicit,<date the eleven of the 8th <pad>08<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,1994/2/26,1994 02<pad>26<pad><pad><pad><pad><pad>,explicit,<date 1994/2/26 1994 02<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,October 16th,<pad>10<pad>16<pad><pad><pad><pad><pad>,explicit,<date October 16th <pad>10<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-fourth week of 2019,2019<pad>34<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-fourth week of 2019 2019<pad>34<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 1975,1975 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1975 1975 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the end of October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date the end of October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2036,2036<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2036 2036<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 8th,<pad><pad><pad>08<pad><pad><pad><pad><pad>,explicit,<date On the 8th <pad><pad><pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,"January 3, 2072",2072 01<pad>03<pad><pad><pad><pad><pad>,explicit,"<date January 3, 2072 2072 01<pad>03<pad><pad><pad><pad><pad>>"
DATE,DATE,On the 26th,<pad><pad><pad>26<pad><pad><pad><pad><pad>,explicit,<date On the 26th <pad><pad><pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,9th of 2nd 1989,1989 02<pad>09<pad><pad><pad><pad><pad>,explicit,<date 9th of 2nd 1989 1989 02<pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-ninth week of 2031,2031<pad>49<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-ninth week of 2031 2031<pad>49<pad><pad><pad><pad><pad><pad>>
DATE,DATE,on August 5th,<pad>08<pad>05<pad><pad><pad><pad><pad>,explicit,<date on August 5th <pad>08<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,the seventeenth of august,<pad>08<pad>17<pad><pad><pad><pad><pad>,explicit,<date the seventeenth of august <pad>08<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,December,<pad>12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date December <pad>12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,late 1953,1953<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1953 1953<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,April 4,<pad>04<pad>04<pad><pad><pad><pad><pad>,explicit,<date April 4 <pad>04<pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,July 17,<pad>07<pad>17<pad><pad><pad><pad><pad>,explicit,<date July 17 <pad>07<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,"February 28, 2062",2062 02<pad>28<pad><pad><pad><pad><pad>,explicit,"<date February 28, 2062 2062 02<pad>28<pad><pad><pad><pad><pad>>"
DATE,DATE,end of 2019,2019<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2019 2019<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 28th,<pad><pad><pad>28<pad><pad><pad><pad><pad>,explicit,<date On the 28th <pad><pad><pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,in August 1922,1922 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1922 1922 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of april,<pad>04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of april <pad>04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in April 2004,2004 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 2004 2004 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On January 5,<pad>01<pad>05<pad><pad><pad><pad><pad>,explicit,<date On January 5 <pad>01<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-third week of 1930,1930<pad>43<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-third week of 1930 1930<pad>43<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in July 2058,2058 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2058 2058 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in November 2011,2011 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 2011 2011 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eleventh week of 2044,2044<pad>11<pad><pad><pad><pad><pad><pad>,explicit,<date the eleventh week of 2044 2044<pad>11<pad><pad><pad><pad><pad><pad>>
DATE,DATE,"September 5, 2089",2089 09<pad>05<pad><pad><pad><pad><pad>,explicit,"<date September 5, 2089 2089 09<pad>05<pad><pad><pad><pad><pad>>"
DATE,DATE,the sixteenth of the 8th,<pad>08<pad>16<pad><pad><pad><pad><pad>,explicit,<date the sixteenth of the 8th <pad>08<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,the sixteenth week of 1900,1900<pad>16<pad><pad><pad><pad><pad><pad>,explicit,<date the sixteenth week of 1900 1900<pad>16<pad><pad><pad><pad><pad><pad>>
DATE,DATE,6/13/1902,1902 06<pad>13<pad><pad><pad><pad><pad>,explicit,<date 6/13/1902 1902 06<pad>13<pad><pad><pad><pad><pad>>
